                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.81937,                0.51651,                0.94281,                0.89358,                0.91843,                0.93121,                0.61541,                  1.132,                0.62742,                 1.1079,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.8784,                0.54985,                0.95663,                 0.9142,                0.85156,                0.92466,                0.59878,                 1.1371,                0.65252,                 1.1159,               0.000416,               0.000416,               0.000416
                     83,                0.84555,                0.53263,                0.94859,                0.91226,                0.86719,                0.92056,                0.61213,                 1.1114,                0.65046,                 1.0968,              0.0003962,              0.0003962,              0.0003962
                     84,                0.89032,                0.54861,                0.97103,                 0.8892,                0.89844,                0.91067,                0.61878,                  1.093,                0.64759,                 1.0747,              0.0003764,              0.0003764,              0.0003764
                     85,                0.84087,                0.51083,                 0.9538,                0.89678,                0.89844,                0.90777,                0.61025,                 1.1147,                0.62995,                 1.1112,              0.0003566,              0.0003566,              0.0003566
                     86,                 0.8698,                0.55426,                0.96615,                0.92272,                0.89062,                0.90487,                0.58334,                 1.1501,                0.66592,                 1.1725,              0.0003368,              0.0003368,              0.0003368
                     87,                0.87453,                0.54395,                0.96435,                0.91268,                0.89828,                0.91538,                 0.5929,                 1.1173,                0.65428,                 1.1363,               0.000317,               0.000317,               0.000317
                     88,                0.78806,                0.53197,                0.94821,                0.87028,                 0.9375,                0.93425,                0.61377,                 1.1131,                0.63868,                 1.1073,              0.0002972,              0.0002972,              0.0002972
                     89,                0.83958,                0.52784,                0.96866,                0.86467,                 0.9375,                0.93527,                0.62988,                   1.09,                 0.6115,                 1.0911,              0.0002774,              0.0002774,              0.0002774
                     90,                0.83327,                0.53411,                0.96657,                0.88785,                0.92777,                0.93054,                0.62249,                 1.0926,                0.61794,                 1.1016,              0.0002576,              0.0002576,              0.0002576
                     91,                0.82295,                0.53112,                0.94715,                0.88341,                0.92188,                0.92522,                0.61165,                 1.1055,                0.62434,                 1.0958,              0.0002378,              0.0002378,              0.0002378
                     92,                0.78943,                0.49596,                0.92709,                0.86617,                0.91015,                0.92163,                0.60953,                 1.1316,                0.64087,                 1.0846,               0.000218,               0.000218,               0.000218
                     93,                 0.7818,                0.48426,                0.93348,                0.92335,                0.85156,                0.92404,                 0.6151,                 1.1276,                0.64289,                 1.0709,              0.0001982,              0.0001982,              0.0001982
                     94,                0.79085,                0.49464,                0.93496,                0.91641,                  0.875,                0.92037,                 0.6122,                 1.1163,                0.62676,                 1.0817,              0.0001784,              0.0001784,              0.0001784
                     95,                0.76358,                0.47666,                0.92052,                0.91736,                0.88281,                 0.9212,                0.61208,                 1.1186,                0.61421,                 1.0901,              0.0001586,              0.0001586,              0.0001586
                     96,                0.76642,                0.48393,                 0.9403,                0.91838,                  0.875,                0.92155,                0.62163,                  1.101,                 0.6145,                 1.0761,              0.0001388,              0.0001388,              0.0001388
                     97,                0.81867,                0.50199,                0.93273,                 0.9238,                  0.875,                0.91493,                0.62395,                 1.0962,                0.61625,                 1.0728,               0.000119,               0.000119,               0.000119
                     98,                0.75097,                0.47738,                0.91093,                0.92568,                  0.875,                0.92172,                0.62916,                 1.0935,                0.61881,                 1.0744,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.7469,                0.48186,                0.92446,                 0.9411,                0.87383,                0.91585,                0.62604,                 1.0918,                0.60718,                 1.0842,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.73255,                0.46468,                0.91138,                0.90641,                0.90801,                0.91675,                 0.6188,                 1.0948,                0.59572,                 1.0972,               5.96e-05,               5.96e-05,               5.96e-05
